,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,FlightNumber,OrigDest,Airline,STADate,STATime,ETADate,ETATime,FlightStatus,IntDom,late
0,0,0,0,2,H9873,Kuala Lumpur,Himalaya Airlines,2023-03-28, 06:15:00,2023-03-28, 06:20:00,Completed,1,5.0
1,1,1,1,3,ET8808,Delhi,Ethiopian Airlines,2023-03-28, 06:20:00,2023-03-28, 06:41:00,Landed,1,21.0
2,2,2,2,4,BHA806,Bhairahawa,Buddha Air,2023-03-28, 07:00:00,2023-03-28, 07:41:00,Landed,0,41.0
3,3,3,3,5,SHA1601,Mountain Flight,Shree Airlines,2023-03-28, 07:05:00,2023-03-28, 07:28:00,Landed,0,23.0
4,4,4,4,6,BHA200,Mountain Flight,Buddha Air,2023-03-28, 07:15:00,2023-03-28, 07:20:00,Landed,0,5.0
5,5,5,5,7,SMA302D/S,Lukla,Summit Air,2023-03-28, 07:20:00,2023-03-28, 07:08:00,Landed,0,-12.0
6,6,6,6,8,SMA304D/S,Lukla,Summit Air,2023-03-28, 07:20:00,2023-03-28, 07:03:00,Landed,0,-17.0
7,7,7,7,9,BHA300,Mountain Flight,Buddha Air,2023-03-28, 07:30:00,2023-03-28, 07:31:00,Landed,0,1.0
8,8,8,8,26,BHA552,Simara Airport,Buddha Air,2023-03-28, 07:10:00,2023-03-28, 08:05:00,Landed,0,55.0
9,9,9,9,27,BHA352,Bharatpur,Buddha Air,2023-03-28, 07:35:00,2023-03-28, 08:09:00,Landed,0,34.0
10,10,10,10,28,SHA228,Dhangadhi,Shree Airlines,2023-03-28, 08:00:00,2023-03-28, 08:11:00,Landed,0,11.0
11,11,11,11,29,FZ587,Dubai,Flydubai,2023-03-28, 08:40:00,2023-03-28, 07:52:00,Landed,1,-48.0
12,12,12,12,30,H9564,Doha,Himalaya Airlines,2023-03-28, 08:45:00,2023-03-28, 08:42:00,Landed,1,-3.0
13,13,13,13,32,SHA822,Bhairahawa,Shree Airlines,2023-03-28, 08:50:00,2023-03-28, 09:21:00,Landed,0,31.0
14,14,14,14,33,BHA502,Janakpur,Buddha Air,2023-03-28, 08:55:00,2023-03-28, 09:34:00,Landed,0,39.0
15,15,15,15,34,G9536,Sharjah,Air Arabia,2023-03-28, 09:00:00,2023-03-28, 08:51:00,Landed,1,-9.0
16,16,16,16,35,SAU914,Bhadrapur,Saurya Airlines,2023-03-28, 09:00:00,2023-03-28, 09:26:00,Landed,0,26.0
17,17,17,17,36,BHA604,Pokhara,Buddha Air,2023-03-28, 09:05:00,2023-03-28, 09:13:00,Landed,0,8.0
18,18,18,18,37,H9560,Dammam,Himalaya Airlines,2023-03-28, 09:05:00,2023-03-28, 09:06:00,Landed,1,1.0
19,19,19,19,38,BHA356,Bharatpur,Buddha Air,2023-03-28, 09:20:00,2023-03-28, 09:38:00,Landed,0,18.0
20,20,20,20,39,TRA118,Lukla,Tara Air,2023-03-28, 09:25:00,2023-03-28, 09:19:00,Landed,0,-6.0
21,21,21,21,40,SMA304,Lukla,Summit Air,2023-03-28, 10:00:00,2023-03-28, 09:36:00,Landed,0,-24.0
22,22,22,22,41,QR652,Doha,Qatar Airways,2023-03-28, 10:05:00,2023-03-28, 09:13:00,Landed,1,-52.0
23,23,23,23,43,BHA852,Bhairahawa,Buddha Air,2023-03-28, 09:40:00,2023-03-28, 10:04:00,Landed,0,24.0
24,24,24,24,44,BHA702,Biratnagar,Buddha Air,2023-03-28, 09:45:00,2023-03-28, 10:05:00,Landed,0,20.0
25,25,25,25,45,BHA952,Bhadrapur,Buddha Air,2023-03-28, 09:45:00,2023-03-28, 10:10:00,Landed,0,25.0
26,26,26,26,46,UK151,Mumbai,Vistara,2023-03-28, 09:50:00,2023-03-28, 09:53:00,Landed,1,3.0
27,27,27,27,47,AI213,Delhi,Air India,2023-03-28, 09:55:00,2023-03-28, 09:57:00,Landed,1,2.0
28,28,28,28,48,BHA652,Pokhara,Buddha Air,2023-03-28, 09:55:00,2023-03-28, 10:02:00,Landed,0,7.0
29,29,29,29,49,SMA302,Lukla,Summit Air,2023-03-28, 10:00:00,2023-03-28, 09:45:00,Landed,0,-15.0
30,30,30,30,50,H9566,Dubai,Himalaya Airlines,2023-03-28, 10:05:00,2023-03-28, 10:00:00,Landed,1,-5.0
31,31,31,31,51,RA240,Doha,Nepal Airlines,2023-03-28, 10:10:00,2023-03-28, 10:18:00,Landed,1,8.0
32,32,32,32,52,BHA134,Surkhet,Buddha Air,2023-03-28, 10:15:00,2023-03-28, 10:23:00,Landed,0,8.0
33,33,33,33,53,SHA432,Nepalgunj,Shree Airlines,2023-03-28, 10:15:00,2023-03-28, 10:30:00,Landed,0,15.0
34,34,34,34,54,SHA732,Biratnagar,Shree Airlines,2023-03-28, 10:50:00,2023-03-28, 11:30:00,Landed,0,40.0
