flight_number,standard_time,estimated_time,location,airline,international,flight_status
BHA281,2023-08-14 08:00:00,"[{""time"": ""2023-08-14 09:12:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Tumlingtar,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
TRA115,2023-08-14 08:05:00,"[{""time"": ""2023-08-14 09:10:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Lukla,Tara Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
BHA451,2023-08-14 08:20:00,"[{""time"": ""2023-08-14 09:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Nepalgunj,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
SHA221,2023-08-14 08:25:00,"[{""time"": ""2023-08-14 09:20:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Dhangadhi,Shree Airlines,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
NYT787,2023-08-14 08:30:00,"[{""time"": ""2023-08-14 09:03:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Biratnagar,Yeti Airlines,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
TK727,2023-08-14 08:35:00,"[{""time"": ""2023-08-14 08:35:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Istanbul,Turkish Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
BHA251,2023-08-14 08:45:00,"[{""time"": ""2023-08-14 09:05:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Dhangadhi,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
KU392,2023-08-14 08:50:00,"[{""time"": ""2023-08-14 08:50:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Kuwait,Kuwait Airways,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
BHA133,2023-08-14 07:30:00,"[{""time"": ""2023-08-14 09:30:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 10:05:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:30:00"", ""timestamp"": ""2023-08-14 11:15:02""}, {""time"": ""2023-08-14 13:00:00"", ""timestamp"": ""2023-08-14 11:45:02""}]",Surkhet,Buddha Air,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-14 09:39:49""}]"
KB401,2023-08-14 08:55:00,"[{""time"": ""2023-08-14 08:55:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Paro,Druk Air,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
QR649,2023-08-14 09:00:00,"[{""time"": ""2023-08-14 09:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Doha,Qatar Airways,t,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 09:39:49""}]"
NYT891,2023-08-14 09:10:00,"[{""time"": ""2023-08-14 09:10:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Bhairahawa,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 09:39:49""}]"
FZ1134,2023-08-14 09:15:00,"[{""time"": ""2023-08-14 09:15:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Dubai,Flydubai,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 09:39:49""}]"
BHA371,2023-08-14 09:20:00,"[{""time"": ""2023-08-14 09:20:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 09:39:49""}]"
3U392D,2023-08-14 09:45:00,"[{""time"": ""2023-08-14 09:45:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Tianfu,Sichuan Airlines,t,"[{""status"": ""Last Call"", ""timestamp"": ""2023-08-14 09:39:49""}]"
G9537,2023-08-14 10:00:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Sharjah,Air Arabia,t,"[{""status"": ""Security Check"", ""timestamp"": ""2023-08-14 09:39:49""}]"
AI214,2023-08-14 10:05:00,"[{""time"": ""2023-08-14 10:05:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Delhi,Air India,t,"[{""status"": ""Last Call"", ""timestamp"": ""2023-08-14 09:39:49""}]"
6E1152,2023-08-14 10:50:00,"[{""time"": ""2023-08-14 10:50:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Delhi,IndiGo,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-14 09:39:49""}]"
BHA555,2023-08-18 12:10:00,"[{""time"": ""2023-08-18 12:35:00"", ""timestamp"": ""2023-08-18 12:45:02""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-18 12:45:02""}]"
WE320,2023-08-15 13:30:00,"[{""time"": ""2023-08-15 13:30:00"", ""timestamp"": ""2023-08-15 11:15:02""}]",Bangkok,THAI Smile,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 10:45:03""}]"
BHA609,2023-08-14 10:45:00,"[{""time"": ""2023-08-14 12:20:00"", ""timestamp"": ""2023-08-14 12:45:03""}]",Pokhara,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 12:45:03""}]"
BHA603,2023-08-14 07:30:00,"[{""time"": ""2023-08-14 09:30:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 10:55:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:27:00"", ""timestamp"": ""2023-08-14 11:45:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:45:02""}]"
BHA403,2023-08-14 11:25:00,"[{""time"": ""2023-08-14 12:35:00"", ""timestamp"": ""2023-08-14 12:45:03""}, {""time"": ""2023-08-14 12:57:00"", ""timestamp"": ""2023-08-14 13:15:02""}]",Nepalgunj,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:15:02""}]"
BHA611,2023-08-14 11:10:00,"[{""time"": ""2023-08-14 12:00:00"", ""timestamp"": ""2023-08-14 12:45:03""}, {""time"": ""2023-08-14 13:18:00"", ""timestamp"": ""2023-08-14 13:45:03""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:45:03""}]"
NYT785,2023-08-14 19:00:00,"[{""time"": ""2023-08-14 19:15:00"", ""timestamp"": ""2023-08-14 19:15:08""}]",Biratnagar,Yeti Airlines,f,"[{""status"": ""Cancelled"", ""timestamp"": ""2023-08-14 19:15:08""}]"
NYT671,2023-08-14 07:30:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 10:49:00"", ""timestamp"": ""2023-08-14 11:01:37""}]",Pokhara,Yeti Airlines,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:00:54""}]"
BHA1653,2023-08-14 06:15:00,"[{""time"": ""2023-08-14 10:20:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:00:00"", ""timestamp"": ""2023-08-14 11:15:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 11:00:54""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:15:02""}]"
OV426,2023-08-14 22:10:00,"[{""time"": ""2023-08-14 22:10:00"", ""timestamp"": ""2023-08-14 22:15:03""}]",Muscat,Salam Air,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 22:15:03""}]"
RA421,2023-08-14 22:30:00,"[{""time"": ""2023-08-14 22:30:00"", ""timestamp"": ""2023-08-14 22:15:03""}]",Kuala Lumpur,Nepal Airlines,t,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 22:15:03""}]"
SHA821,2023-08-14 13:20:00,"[{""time"": ""2023-08-14 14:45:00"", ""timestamp"": ""2023-08-14 13:45:03""}, {""time"": ""2023-08-14 15:00:00"", ""timestamp"": ""2023-08-14 15:45:02""}, {""time"": ""2023-08-14 15:13:00"", ""timestamp"": ""2023-08-14 16:15:02""}]",Bhairahawa,Shree Airlines,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-14 13:45:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 15:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 16:15:02""}]"
BHA355,2023-08-14 10:15:00,"[{""time"": ""2023-08-14 10:32:00"", ""timestamp"": ""2023-08-14 11:01:37""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-14 11:00:54""}]"
NYT677,2023-08-14 11:00:00,"[{""time"": ""2023-08-14 13:00:00"", ""timestamp"": ""2023-08-14 13:15:02""}, {""time"": ""2023-08-14 14:06:00"", ""timestamp"": ""2023-08-14 14:15:03""}]",Pokhara,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-14 13:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 14:15:03""}]"
BHA607,2023-08-14 09:20:00,"[{""time"": ""2023-08-14 10:00:00"", ""timestamp"": ""2023-08-14 09:39:49""}, {""time"": ""2023-08-14 11:00:00"", ""timestamp"": ""2023-08-14 11:01:37""}, {""time"": ""2023-08-14 11:10:00"", ""timestamp"": ""2023-08-14 11:15:02""}, {""time"": ""2023-08-14 12:00:00"", ""timestamp"": ""2023-08-14 12:15:02""}, {""time"": ""2023-08-14 12:40:00"", ""timestamp"": ""2023-08-14 13:15:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Delay due to weather"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-14 12:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-14 13:15:02""}]"
H9890,2023-08-14 10:30:00,"[{""time"": ""2023-08-14 10:30:00"", ""timestamp"": ""2023-08-14 09:39:49""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Security Check"", ""timestamp"": ""2023-08-14 09:39:49""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-14 11:00:54""}]"
